BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate
124,420776180,adventure-works\kim0,b'z\xec\xbc',4.0,Stocker,1984-04-30,S,F,2008-12-26,False,98,69,True,2014-06-30 00:00:00.000
125,584205124,adventure-works\matthias0,b'z\xec\xc2',4.0,Shipping and Receiving Clerk,1973-11-11,M,M,2009-01-20,False,94,67,True,2014-06-30 00:00:00.000
126,652779496,adventure-works\jimmy0,b'z\xec\xc6',4.0,Stocker,1985-05-04,M,M,2009-02-26,False,96,68,True,2014-06-30 00:00:00.000
127,750905084,adventure-works\david4,b'z\xed\x80',3.0,Production Supervisor - WC40,1983-07-02,S,M,2009-01-03,False,73,56,True,2014-06-30 00:00:00.000
128,384162788,adventure-works\paul0,b'z\xed\xac',4.0,Production Technician - WC40,1980-11-13,S,M,2008-12-04,False,68,54,True,2014-06-30 00:00:00.000
129,502058701,adventure-works\gary0,b'z\xed\xb4',4.0,Production Technician - WC40,1988-05-16,S,M,2008-12-22,False,69,54,True,2014-06-30 00:00:00.000
130,578953538,adventure-works\rob1,b'z\xed\xbc',4.0,Production Technician - WC40,1973-08-04,S,M,2009-02-13,False,71,55,True,2014-06-30 00:00:00.000
131,273260055,adventure-works\baris0,b'z\xed\xc2',4.0,Production Technician - WC40,1990-10-07,S,M,2009-02-15,False,72,56,True,2014-06-30 00:00:00.000
132,1300049,adventure-works\nicole0,b'z\xed\xc6',4.0,Production Technician - WC40,1986-04-09,M,F,2009-02-22,False,67,53,True,2014-06-30 00:00:00.000
133,830150469,adventure-works\michael1,b'z\xed\xca',4.0,Production Technician - WC40,1991-01-04,S,M,2009-01-10,False,70,55,True,2014-06-30 00:00:00.000
134,45615666,adventure-works\eric0,b'z\xee\x80',3.0,Production Supervisor - WC20,1985-01-19,M,M,2009-01-14,False,40,40,True,2014-06-30 00:00:00.000
135,964089218,adventure-works\ivo0,b'z\xee\xac',4.0,Production Technician - WC20,1982-01-03,M,M,2008-12-04,False,9,24,True,2014-06-30 00:00:00.000
136,701156975,adventure-works\sylvester0,b'z\xee\xb4',4.0,Production Technician - WC20,1970-11-12,M,M,2009-12-11,False,4,22,True,2014-06-30 00:00:00.000
137,63761469,adventure-works\anibal0,b'z\xee\xbc',4.0,Production Technician - WC20,1974-09-05,S,F,2009-02-23,False,8,24,True,2014-06-30 00:00:00.000
138,25011600,adventure-works\samantha0,b'z\xee\xc2',4.0,Production Technician - WC20,1987-11-22,M,F,2009-02-04,False,7,23,True,2014-06-30 00:00:00.000
139,113393530,adventure-works\hung-fu0,b'z\xee\xc6',4.0,Production Technician - WC20,1971-10-23,S,M,2010-01-06,False,0,20,True,2014-06-30 00:00:00.000
140,339233463,adventure-works\prasanna0,b'z\xee\xca',4.0,Production Technician - WC20,1953-04-30,M,M,2010-01-22,False,5,22,True,2014-06-30 00:00:00.000
141,872923042,adventure-works\min0,b'z\xee\xce',4.0,Production Technician - WC20,1974-09-10,M,M,2010-01-24,False,1,20,True,2014-06-30 00:00:00.000
142,163347032,adventure-works\olinda0,b'z\xee\xd1',4.0,Production Technician - WC20,1970-04-04,S,F,2010-03-04,False,3,21,True,2014-06-30 00:00:00.000
143,56772045,adventure-works\krishna0,b'z\xee\xd3',4.0,Production Technician - WC20,1971-09-05,S,M,2010-02-13,False,2,21,True,2014-06-30 00:00:00.000
144,886023130,adventure-works\paul1,b'z\xee\xd5',4.0,Production Technician - WC20,1990-11-04,M,M,2009-01-17,False,6,23,True,2014-06-30 00:00:00.000
145,386315192,adventure-works\cynthia0,b'z\xef\x80',3.0,Production Supervisor - WC30,1981-08-18,S,F,2009-01-27,False,69,54,True,2014-06-30 00:00:00.000
146,160739235,adventure-works\jianshuo0,b'z\xef\xac',4.0,Production Technician - WC30,1989-06-25,S,M,2008-12-07,False,36,38,True,2014-06-30 00:00:00.000
147,604664374,adventure-works\sandra0,b'z\xef\xb4',4.0,Production Technician - WC30,1975-11-05,M,F,2008-12-26,False,37,38,True,2014-06-30 00:00:00.000
148,733022683,adventure-works\jason0,b'z\xef\xbc',4.0,Production Technician - WC30,1988-12-07,S,M,2009-01-14,False,38,39,True,2014-06-30 00:00:00.000
149,764853868,adventure-works\andy0,b'z\xef\xc2',4.0,Production Technician - WC30,1983-10-20,M,M,2009-01-31,False,39,39,True,2014-06-30 00:00:00.000
150,878395493,adventure-works\michael5,b'z\xef\xc6',4.0,Production Technician - WC30,1982-09-18,M,M,2009-02-26,False,35,37,True,2014-06-30 00:00:00.000
151,993310268,adventure-works\rostislav0,b'z\xef\xca',4.0,Production Technician - WC30,1977-09-13,M,M,2009-02-19,False,40,40,True,2014-06-30 00:00:00.000
152,319472946,adventure-works\yuhong0,b'z\xf0D',3.0,Production Supervisor - WC20,1977-04-06,M,M,2009-02-01,False,41,40,True,2014-06-30 00:00:00.000
153,568596888,adventure-works\hanying0,b'z\xf0E`',4.0,Production Technician - WC20,1974-10-16,S,M,2008-12-16,False,15,27,True,2014-06-30 00:00:00.000
154,97728960,adventure-works\raymond0,b'z\xf0E\xa0',4.0,Production Technician - WC20,1967-03-02,M,M,2008-12-23,False,10,25,True,2014-06-30 00:00:00.000
155,212801092,adventure-works\fadi0,b'z\xf0E\xe0',4.0,Production Technician - WC20,1989-02-15,S,M,2009-01-04,False,16,28,True,2014-06-30 00:00:00.000
156,322160340,adventure-works\lane0,b'z\xf0F\x10',4.0,Production Technician - WC20,1974-09-23,M,M,2009-01-11,False,11,25,True,2014-06-30 00:00:00.000
157,812797414,adventure-works\linda1,b'z\xf0F0',4.0,Production Technician - WC20,1977-10-05,S,F,2009-02-03,False,12,26,True,2014-06-30 00:00:00.000
158,300946911,adventure-works\shelley0,b'z\xf0FP',4.0,Production Technician - WC20,1986-12-08,S,F,2009-03-07,False,14,27,True,2014-06-30 00:00:00.000
159,404159499,adventure-works\terrence0,b'z\xf0Fp',4.0,Production Technician - WC20,1984-12-08,S,M,2009-02-16,False,13,26,True,2014-06-30 00:00:00.000
160,712885347,adventure-works\jeff0,b'z\xf0L',3.0,Production Supervisor - WC45,1977-01-15,M,M,2009-01-21,False,74,57,True,2014-06-30 00:00:00.000
161,275962311,adventure-works\kirk0,b'z\xf0M`',4.0,Production Technician - WC45,1985-02-06,S,M,2008-12-15,False,74,57,True,2014-06-30 00:00:00.000
162,514829225,adventure-works\laura0,b'z\xf0M\xa0',4.0,Production Technician - WC45,1980-12-25,S,F,2009-01-03,False,75,57,True,2014-06-30 00:00:00.000
163,377784364,adventure-works\alex0,b'z\xf0M\xe0',4.0,Production Technician - WC45,1990-04-13,M,M,2009-02-08,False,77,58,True,2014-06-30 00:00:00.000
164,65848458,adventure-works\andrew1,b'z\xf0N\x10',4.0,Production Technician - WC45,1988-09-24,S,M,2009-03-06,False,73,56,True,2014-06-30 00:00:00.000
165,539490372,adventure-works\chris0,b'z\xf0N0',4.0,Production Technician - WC45,1988-12-16,M,M,2009-01-22,False,76,58,True,2014-06-30 00:00:00.000
166,60114406,adventure-works\jack0,b'z\xf0T',3.0,Production Supervisor - WC30,1983-06-22,S,M,2009-02-21,False,68,54,True,2014-06-30 00:00:00.000
167,498138869,adventure-works\david1,b'z\xf0U`',4.0,Production Technician - WC30,1979-11-02,S,M,2008-12-02,False,25,32,True,2014-06-30 00:00:00.000
168,271438431,adventure-works\garrett0,b'z\xf0U\xa0',4.0,Production Technician - WC30,1984-08-25,S,M,2008-12-07,False,34,37,True,2014-06-30 00:00:00.000
